benchmark,model,detailed_runs,task_records,mean_binary_pass_rate,cost_matched_binary_pass_rate,mean_native_score,cost_complete_run_share,total_cost_observed,mean_run_cost,sd_run_cost,total_successes_observed,operational_cost_per_success,total_input_tokens_observed,cache_read_share_of_observed_input,outcome_task_records
aime-2026,anthropic/claude-opus-4-8,1,29,0.8275862068965517,,0.8275862068965517,0.0,,,,0,,,,29.0
argus,(model missing),1,1,,,,0.0,,,,0,,,,0.0
blueprint,anthropic/claude-haiku-4-5,1,5,0.2,,,0.0,,,,0,,,,5.0
code-migration,openai/gpt-5.5,1,1,0.0,,0.0,0.0,,,,0,,,,1.0
cpse-bench,xai/grok-4.5,1,1,,,,0.0,,,,0,,,,0.0
cyberbench,meta/muse_spark_1_2,1,58,0.7931034482758621,,0.7931034482758621,0.0,,,,0,,,,58.0
dcf,(model missing),1,0,,,,0.0,,,,0,,,,0
deepmind-formal-conjectures,openai/gpt-5.5,1,0,,,,0.0,,,,0,,,,0
discogen-harness-rsi-local,openai/gpt-5.6-sol,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
emb,grok/v9m-exp-0805-row17-47p8-api-high,1,102,,,,0.0,,,,0,,,,0.0
fab,anthropic/claude-sonnet-4-6,1,1,,,1.0,0.0,,,,0,,,,0.0
fabv2,openai/gpt-5-nano-2025-08-07,1,10,,,0.5187698412698413,1.0,,0.5546291600000001,,0,,4714932.0,0.6817109199503908,0.0
fabv2-internal,grok/v9m-exp-0805-row17-47p8-api-high,1,449,,,0.7429664742582338,1.0,,1253.963313,,0,,228972003.0,0.501301945113398,0.0
fabv2-refactor,openai/gpt-5.4-mini,1,126,,,0.7105143064820486,1.0,,131.6992986,,0,,54687212.0,0.593464986325484,0.0
financial-health,anthropic/claude-sonnet-4-6,1,9,,,,0.0,,,,0,,,,0.0
harbor,(model missing),1,10,,,,0.0,,,,0,,,,0.0
harvey,openai/gpt-5.4-nano-2026-03-17,1,1,0.0,,0.0,0.0,,,,0,,,,1.0
harvey-legal-agent,grok/v9m-exp-0805-row17-47p8-api-high,1,119,0.18487394957983194,,0.22268907563025211,0.0,,,,0,,,,119.0
ioi,meta/muse_spark_1_2,1,6,,,0.0,0.0,,,,0,,,,0.0
kspbench,anthropic/claude-opus-4-7,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
legal,openai/gpt-5.4-2026-03-05,1,1,,,,0.0,,,,0,,,,0.0
legal-research,alibaba/qwen3.7-max,1,208,0.22596153846153846,0.22596153846153846,0.7729868434479358,1.0,293.436286,293.436286,,47.0,6.243325234042553,90483901.0,0.42915925401119304,208.0
legal-research,anthropic/claude-opus-4-8,1,208,0.1778846153846154,0.1778846153846154,0.8590410570408563,1.0,603.660301,603.660301,,37.0,16.31514327027027,97901.0,0.7195619358660771,208.0
legal-research,anthropic/claude-sonnet-4-6,1,208,0.3798076923076923,0.3798076923076923,0.8498757237366547,1.0,491.1524265,491.1524265,,79.0,6.21711932278481,279329.0,0.7607315111099445,208.0
legal-research,anthropic/claude-sonnet-5,1,208,0.4182692307692308,0.4182692307692308,0.8459227965192764,1.0,848.46719055,848.46719055,,87.0,9.75249644310345,178945.0,0.8117945087065892,208.0
legal-research,deepseek/deepseek-v4-pro,1,208,0.20673076923076922,0.20673076923076922,0.8016942642638641,1.0,152.9206511,152.9206511,,43.0,3.5562942116279066,40831301.0,0.8804009918299491,208.0
legal-research,google/gemini-3.1-pro-preview,1,208,0.1875,0.1875,0.7593929343406788,1.0,227.3090004,227.3090004,,39.0,5.828435907692308,33144530.0,0.9065234069596481,208.0
