model,finished_runs,benchmarks,benchmark_names,scaffolds,scaffold_names,median_tasks_per_run,p90_tasks_per_run,all_task_error_runs,any_task_error_runs,first_started_at,last_started_at
openai/gpt-5.5,432,51,blueprint | code-migration | cpse-bench | cyberbench | deepmind-formal-conjectures | emb | fabv2-internal | harvey-legal-agent | ioi | kspbench | legal-research | osworld-v2 | platformbe | programbench | rsi-gpu-shell-assay-mini-20260703004310 | rsi-gpu-shell-continual-harness-smoke-20260713a | rsi-gpu-shell-fabv2-autoresearch-20260715133143 | rsi-gpu-shell-fabv2-autoresearch-full16-20260715160049 | rsi-gpu-shell-fabv2-hillclimb-arbor-20260715231935 | rsi-gpu-shell-fabv2-matrix-h0-20260713203919 | rsi-gpu-shell-fabv2-matrix-h2-smoke-20260713202549 | rsi-gpu-shell-fabv2-matrix-smoke-1783994758 | rsi-gpu-shell-fhc-aoe-20260715232322 | rsi-gpu-shell-gemma-harness-20260629010831 | rsi-gpu-shell-gemma-harness-v1-20260629082024 | rsi-gpu-shell-gptoss-h0-20260714233201 | rsi-gpu-shell-gptoss-h4-modal-20260715002654 | rsi-gpu-shell-gptoss-h5-coreweave-20260714234933 | rsi-gpu-shell-m2q35h0-20260714223918 | rsi-gpu-shell-m2q35h4-20260714215304 | rsi-gpu-shell-m2q35h5-20260714221851 | rsi-gpu-shell-nanochat-agentic-fv-20260701232612 | rsi-gpu-shell-nanochat-agentic-fv-real-20260701235005 | rsi-gpu-shell-nanochat-finance-vibecode-20260701143215 | rsi-gpu-shell-nchatckpt-07011539 | rsi-gpu-shell-nfvtrain-07011459 | rsi-gpu-shell-q9ar5d-0722105006 | rsi-gpu-shell-qwen35-base-fabv2-valcode-20260713182058 | rsi-gpu-shell-qwen35rl-fabv2-20260702112041 | rsi-gpu-shell-rsi-closed-loop-48h-20260703145002 | rsi-gpu-shell-vals-persona2-0701165556 | skillsbench | snap | srebench | swebench | tax-eval-v3 | terminal-bench | valsmith | vcb | vcb-1-100 | web-search,44,codex | codex_lean | codex_poc_agent | codex_subscription_continual | codex_subscription_rsi | codex_subscription_rsi_harness | codex_subscription_rsi_persistent | cpse_agent | emb_agent | fabv2_agent | fabv2_matrix_smoke_agent | factory | harvey-labs | harvey-labs-instructions-rawtools-temp | harvey-labs-instructions-temp | harvey-labs-temp | harvey-labs-tool-format-temp | harvey-labs-vals-no-encrypted-reasoning-ablation | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_swe_code_migration_bounded_calibration | mini_swe_code_migration_clean | mini_sweagent | mini_sweagent_cpse | mini_sweagent_no_internet | mini_sweagent_patch_agent | mini_sweagent_poc_agent | mini_sweagent_private | mini_sweagent_private_gateway | opencode_thinking | openhands | openhands_cli | openhands_skillsbench | openhands_vcb100 | osworld_agent | programbench_agent | snap-agent | snap_agent | srebench_mini_sweagent | tax_eval_v3_agent | terminus2 | web-search-agent | web_search_agent,3.0,100.0,24,83,2026-04-25T01:55:57.726783Z,2026-08-08T01:02:35.955347Z
anthropic/claude-opus-4-8,222,24,aime-2026 | blueprint | code-migration | cpse-bench | cyberbench | emb | fabv2-internal | harvey-legal-agent | ioi | kspbench | legal-research | platformbe | programbench | proof-bench | skillsbench | snap | srebench | swebench | tax-eval-v3 | terminal-bench | valsmith | valsmith-generation | vcb | web-search,35,claude_code | claude_code_anthropic_only | claude_code_cpse | claude_code_vcb | emb_agent | emb_agent_dummy | fabv2_agent | fabv2_agent-smoke-test | factory_anthropic_openai_only | harvey-labs | ioi_agent-smoke-test | kspbench_agent | legal_research_agent | math-solver | mini_swe_code_migration | mini_sweagent | mini_sweagent-smoke-test | mini_sweagent_cpse | mini_sweagent_no_internet | mini_sweagent_patch_agent | mini_sweagent_poc_agent | mini_sweagent_private | mini_sweagent_private_gateway | opencode | opencode_thinking | openhands | openhands_cli | openhands_cpse | programbench_agent | programbench_agent-smoke-test | proof_bench_agent-smoke-test | snap_agent | srebench_mini_sweagent | tax_eval_v3_agent | web_search_agent,5.0,100.0,1,49,2026-05-28T17:53:23.821105Z,2026-08-07T16:26:37.918364Z
anthropic/claude-sonnet-4-6,196,24,blueprint | code-migration | cyberbench | emb | fab | fabv2-internal | financial-health | harvey-legal-agent | ioi | legal-research | persona_eval | platformbe | programbench | proof-bench | skillsbench | snap | swebench | tax-eval-v3 | terminal-bench | valsmith | valsmith-generation | vcb | vcb-1-100 | web-search,27,claude_code | claude_code_zuul_debug | emb_agent | fabv2_agent | finance-agent | financial-health-agent | harvey-labs | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_swe_code_migration_bounded_calibration | mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands | openhands_cli | openhands_cli_direct | openhands_skillsbench | openhands_vcb100 | programbench_agent | proof_bench_agent | snap-agent | snap_agent | social_mobility | tax_eval_v3_agent | terminus2 | web-search-agent,14.5,230.0,19,57,2026-03-28T19:54:42.044143Z,2026-07-30T02:28:17.057239Z
google/gemini-3.5-flash,181,21,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | ioi | legal-research | platformbe | progbench10 | progbench6 | progbench7 | programbench | proof-bench | skillsbench | snap | swebench | tax-eval-v3 | terminal-bench | valsmith | vcb | web-search,26,emb_agent | emb_agent_dummy | fabv2_agent | harvey-labs | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_no_internet | mini_sweagent_patch_agent | mini_sweagent_poc_agent | mini_sweagent_private | mini_sweagent_private_gateway | omar-test-agent | openhands | openhands_cli | openhands_cli_direct | openhands_skillsbench | programbench_agent | proof_bench_agent | proof_bench_agent_1_1 | snap_agent | tax_eval_v3_agent | terminus2 | web-search-agent | web_search_agent,10.0,229.0,10,38,2026-05-18T23:56:40.962215Z,2026-08-03T15:49:32.112162Z
google/gemini-3.1-pro-preview,173,18,code-migration | cyberbench | emb | fab | fabv2-internal | harvey-legal-agent | ioi | legal | legal-research | programbench | proof-bench | snap | snap-pilot | tax-eval-v3 | terminal-bench | valsmith | vcb | web-search,24,agent | emb_agent | fabv2_agent | finance-agent | harvey-labs | ioi_agent | legal-research | legal_research_agent | mini_swe_code_migration | mini_sweagent_no_internet | mini_sweagent_patch_agent | mini_sweagent_poc_agent | mini_sweagent_private | mini_sweagent_private_gateway | openhands | programbench_agent | proof_bench_agent | proof_bench_agent_1_1 | snap-agent | snap_agent | snap_agent_migration_test | tax_eval_v3_agent | terminus2 | web_search_agent,60.0,230.0,22,63,2026-03-28T19:51:09.450673Z,2026-08-03T15:46:02.286675Z
openai/gpt-5.4-nano-2026-03-17,130,17,code-migration | cyberbench | emb | fabv2 | fabv2-internal | harvey | harvey-legal-agent | ioi | legal | legal-research | programbench | proof-bench | skillsbench | snap | swebench | terminal-bench | vcb,22,emb_agent | fabv2-agent-test-20260420-145558 | fabv2-agent-test-20260420-150307 | fabv2-agent-test-20260420-150414 | fabv2-agent-test-20260420-150509 | fabv2-agent-test-20260420-150622 | fabv2-agent-test-20260420-152153 | fabv2_agent | harvey-labs | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands | openhands_skillsbench | programbench_agent | proof_bench_agent | snap_agent | terminus2 | terminus2-v1.0.0,4.5,102.0,17,39,2026-04-19T21:45:29.747482Z,2026-07-22T01:54:29.879563Z
google/gemini-3.1-flash-lite,123,17,code-migration | cyberbench | emb | fabv2-internal | fabv2-refactor | harvey-legal-agent | ioi | kspbench | legal-research | programbench | proof-bench | skillsbench | snap | swebench | tax-eval-v3 | terminal-bench | vcb,16,emb_agent | fabv2_agent | harvey-labs | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_poc_agent | opencode_thinking | openhands | openhands_skillsbench | programbench_agent | proof_bench_agent | snap_agent | tax_eval_v3_agent | terminus2,2.0,126.0,9,28,2026-05-26T19:42:38.512354Z,2026-08-06T20:38:25.683776Z
openai/gpt-5.6-sol,113,14,code-migration | cpse-bench | cyberbench | discogen-harness-rsi-local | harvey-legal-agent | ioi | kspbench | proof-bench | skillsbench | tax-eval-v3 | valsmith | valsmith-generation | vcb | web-search,21,codex | codex_anthropic_openai_only | codex_subscription_discogen_harness | cpse_agent | factory_anthropic_openai_only | harvey-labs | ioi_agent | mini_swe_code_migration | mini_sweagent_cpse | mini_sweagent_no_internet | mini_sweagent_patch_agent | mini_sweagent_poc_agent | mini_sweagent_private | mini_sweagent_private_gateway | opencode_thinking | openhands | openhands_cpse | openhands_skillsbench | proof_bench_agent_1_1 | tax_eval_v3_agent | web_search_agent,4.0,97.39999999999996,0,20,2026-07-09T00:29:00.660363Z,2026-08-07T16:25:23.582888Z
deepseek/deepseek-v4-pro,108,18,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | ioi | kspbench | legal-research | programbench | proof-bench | skillsbench | snap | swebench | tax-eval-v3 | terminal-bench | valsmith | vcb | vcb-1-100,22,emb_agent | fabv2_agent | harvey-labs | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | opencode_thinking | openhands | openhands_cli | openhands_cli_direct | openhands_skillsbench | openhands_vcb100 | programbench_agent | proof_bench_agent | proof_bench_agent_1_1 | snap-agent | snap_agent | tax_eval_v3_agent | terminus2,61.5,230.0,5,23,2026-04-22T05:40:19.201142Z,2026-08-03T23:48:09.775004Z
grok/grok-4.3,91,14,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | legal-research | programbench | proof-bench | skillsbench | snap | swebench | terminal-bench | vcb | web-search,17,emb_agent | fabv2_agent | harvey-labs | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands | openhands_cli | openhands_cli_direct | programbench_agent | proof_bench_agent | snap-agent | snap_agent | terminus2 | web_search_agent,87.0,230.0,2,14,2026-04-29T05:25:02.090394Z,2026-07-28T20:17:04.795700Z
