benchmark,runs,raw_min,raw_median,raw_max,inferred_divisor,normalized_min,normalized_max,range_assertion_passed
vcb,513,0.0,26.85185185185185,100.0,100.0,0.0,1.0,True
terminal-bench,503,0.0,52.80898876404494,100.0,100.0,0.0,1.0,True
swebench,491,0.0,65.2,100.0,100.0,0.0,1.0,True
snap,461,0.0,49.6214728148658,100.0,100.0,0.0,1.0,True
code-migration,395,0.0,0.0,100.0,100.0,0.0,1.0,True
fabv2-internal,378,0.0,41.446848573416226,100.0,100.0,0.0,1.0,True
skillsbench,368,0.0,45.8567051724138,100.0,100.0,0.0,1.0,True
cyberbench,337,0.0,73.68421052631578,100.0,100.0,0.0,1.0,True
valsmith,268,0.0,72.9271645,100.0,100.0,0.0,1.0,True
proof-bench,186,0.0,5.0,100.0,100.0,0.0,1.0,True
legal-research,148,0.0,10.028846153846153,100.0,100.0,0.0,1.0,True
harvey-legal-agent,146,0.0,0.0,100.0,100.0,0.0,1.0,True
programbench,140,0.0,0.0,100.0,100.0,0.0,1.0,True
emb,138,0.0,41.06984161833509,100.0,100.0,0.0,1.0,True
ioi,126,0.0,11.833333333333332,100.0,100.0,0.0,1.0,True
cpse-bench,122,0.0,100.0,100.0,100.0,0.0,1.0,True
valsmith-generation,107,0.0,80.0,100.0,100.0,0.0,1.0,True
web-search,59,0.0,32.1327910157637,100.0,100.0,0.0,1.0,True
fab,32,0.0,50.0,100.0,100.0,0.0,1.0,True
blueprint,31,0.0,40.0,100.0,100.0,0.0,1.0,True
tax-eval-v3,27,0.0,41.043083900226755,100.0,100.0,0.0,1.0,True
vcb-1-100,25,0.0,5.0,29.166666666666668,100.0,0.0,0.2916666666666667,True
harbor,24,0.0,0.0,100.0,100.0,0.0,1.0,True
platformbe,18,0.0,14.28575,100.0,100.0,0.0,1.0,True
kspbench,16,0.0,100.0,100.0,100.0,0.0,1.0,True
srebench,15,3.583333333333333,11.25,66.66666666666666,100.0,0.03583333333333333,0.6666666666666665,True
swesmith,13,0.0,66.666667,100.0,100.0,0.0,1.0,True
legal,10,0.0,0.0,100.0,100.0,0.0,1.0,True
harvey,8,0.0,0.0,0.0,1.0,0.0,0.0,True
valsmith-task-filter,7,100.0,100.0,100.0,100.0,1.0,1.0,True
deepmind-formal-conjectures,7,0.0,0.0,0.0,1.0,0.0,0.0,True
social-mobility,7,0.0,43.90243902439025,100.0,100.0,0.0,1.0,True
